"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Male","Evans","696","22","59"
"Female","Fannin","2430","58","163"
"Male","Fannin","2054","82","196"
"Unknown","Fannin","3","0","0"
"Female","Fayette","11073","134","611"
"Male","Fayette","9684","167","652"
"Unknown","Fayette","89","0","1"
"Female","Floyd","13803","182","831"
"Male","Floyd","11348","249","837"
"Unknown","Floyd","122","0","1"
"Female","Forsyth","26021","162","752"
"Male","Forsyth","23488","240","904"
"Unknown","Forsyth","1069","0","0"
"Female","Franklin","2572","30","153"
"Male","Franklin","2080","52","136"
"Unknown","Franklin","15","0","1"
"Female","Fulton","120203","1070","5803"
"Male","Fulton","98800","1152","5319"
"Unknown","Fulton","989","0","78"
"Female","Gilmer","2703","69","243"
"Male","Gilmer","2298","84","251"
"Unknown","Gilmer","22","0","0"
"Female","Glascock","149","3","12"
"Male","Glascock","129","6","19"
"Unknown","Glascock","6","0","0"
"Female","Glynn","10810","163","398"
"Male","Glynn","8948","207","399"
"Unknown","Glynn","23","0","0"
"Female","Gordon","6962","102","251"
"Male","Gordon","5919","132","263"
"Unknown","Gordon","120","0","1"
"Female","Grady","2287","35","153"
"Male","Grady","1716","47","132"
"Unknown","Grady","17","0","0"
"Female","Greene","1947","38","147"
"Male","Greene","1624","41","177"
"Unknown","Greene","11","0","0"
"Female","Gwinnett","108661","826","4143"
"Male","Gwinnett","90575","1003","3912"
"Unknown","Gwinnett","970","0","5"
"Female","Habersham","4981","118","355"
"Male","Habersham","4123","129","396"
"Unknown","Habersham","25","0","1"
"Female","Hall","28254","367","1800"
"Male","Hall","23734","448","1920"
"Unknown","Hall","253","1","1"
"Female","Hancock","791","34","67"
"Male","Hancock","775","48","75"
"Unknown","Hancock","2","0","0"
"Female","Haralson","2005","34","71"
"Male","Haralson","1705","33","52"
"Unknown","Haralson","17","0","0"
"Female","Harris","3015","48","181"
"Male","Harris","2616","56","195"
"Unknown","Harris","27","0","0"
"Female","Hart","1942","29","124"
"Male","Hart","1468","36","104"
"Unknown","Hart","7","0","0"
"Female","Heard","866","19","47"
"Male","Heard","781","17","66"
"Unknown","Heard","3","0","0"
"Female","Henry","29956","299","1433"
"Male","Henry","22756","348","1226"
"Unknown","Henry","111","0","0"
"Female","Houston","15090","164","646"
"Male","Houston","11786","182","634"
"Unknown","Houston","10","0","0"
