"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Seminole","1835","US-13253","13","253","8140","131","31","22543","380.84","49.14","4","555","5","7"
"Spalding","11837","US-13255","13","255","69110","944","378","17127.77","546.95","83.92","58","6789","64","54"
"Stephens","6536","US-13257","13","257","26328","459","145","24825.28","550.74","167.12","44","450","31","15"
"Stewart","2581","US-13259","13","259","6129","156","33","42111.27","538.42","473.16","29","504","3","3"
"Sumter","4302","US-13261","13","261","29399","502","165","14633.15","561.24","54.42","16","3982","17","20"
"Talbot","1055","US-13263","13","263","6158","99","33","17132.19","535.89","48.72","3","265","1","9"
"Taliaferro","203","US-13265","13","265","1632","24","3","12438.73","183.82","0","0","121","1","1"
"Tattnall","3624","US-13267","13","267","25411","215","89","14261.54","350.24","35.42","9","1994","54","117"
"Taylor","1288","US-13269","13","269","7958","133","38","16184.97","477.51","12.57","1","1029","13","20"
"Telfair","1360","US-13271","13","271","15644","107","59","8693.43","377.14","31.96","5","2031","29","63"
"Terrell","1274","US-13273","13","273","8467","186","66","15046.65","779.5","23.62","2","1132","4","2"
"Thomas","9567","US-13275","13","275","44431","737","195","21532.26","438.88","27.01","12","3779","37","69"
"Tift","6738","US-13277","13","277","40830","651","172","16502.57","421.26","19.59","8","6519","64","137"
"Toombs","5883","US-13279","13","279","26983","322","178","21802.62","659.67","122.3","33","1920","34","37"
"Towns","2571","US-13281","13","281","12034","249","96","21364.47","797.74","124.65","15","366","26","13"
"Treutlen","1239","US-13283","13","283","6829","78","53","18143.21","776.1","131.79","9","576","16","12"
"Troup","14206","US-13285","13","285","70414","825","345","20174.97","489.96","85.21","60","3894","64","47"
"Turner","1232","US-13287","13","287","8076","139","49","15255.08","606.74","12.38","1","1803","16","41"
"Twiggs","1180","US-13289","13","289","8086","172","58","14593.12","717.29","49.47","4","594","15","11"
"Union","5242","US-13291","13","291","25335","525","158","20690.74","623.64","138.15","35","661","17","11"
"Unknown","10180","US-.","","","0","95","0","0","0","0","69","2505","1","11"
