"age group","county name","cases","deaths","confirmed_case_hospitalization"
"10-17 years","Gilmer","387","0","6"
"18-29 years","Gilmer","699","0","32"
"30-39 years","Gilmer","638","2","32"
"40-49 years","Gilmer","668","3","34"
"50-59 years","Gilmer","812","19","68"
"60-69 years","Gilmer","778","24","106"
"70-79 years","Gilmer","533","54","131"
"80 & Older years","Gilmer","261","51","74"
"<1 years","Gilmer","43","0","4"
"Unknown years","Gilmer","2","0","0"
"01-04 years","Glascock","1","0","0"
"05-09 years","Glascock","9","0","0"
"10-17 years","Glascock","16","0","0"
"18-29 years","Glascock","51","0","1"
"30-39 years","Glascock","40","0","2"
"40-49 years","Glascock","43","0","1"
"50-59 years","Glascock","51","2","5"
"60-69 years","Glascock","27","0","5"
"70-79 years","Glascock","34","5","11"
"80 & Older years","Glascock","9","2","5"
"<1 years","Glascock","3","0","1"
"01-04 years","Glynn","514","0","4"
"05-09 years","Glynn","916","0","1"
"10-17 years","Glynn","2101","0","3"
"18-29 years","Glynn","3693","5","43"
"30-39 years","Glynn","3119","11","50"
"40-49 years","Glynn","2663","18","73"
"50-59 years","Glynn","2447","46","122"
"60-69 years","Glynn","2145","85","196"
"70-79 years","Glynn","1334","92","158"
"80 & Older years","Glynn","657","113","140"
"<1 years","Glynn","169","0","7"
"Unknown years","Glynn","23","0","0"
"01-04 years","Gordon","309","0","2"
"05-09 years","Gordon","401","1","2"
"10-17 years","Gordon","1279","0","7"
"18-29 years","Gordon","2636","3","24"
"30-39 years","Gordon","2070","4","37"
"40-49 years","Gordon","2018","11","55"
"50-59 years","Gordon","1849","30","85"
"60-69 years","Gordon","1236","66","102"
"70-79 years","Gordon","686","66","122"
"80 & Older years","Gordon","356","53","76"
"<1 years","Gordon","137","0","3"
"Unknown years","Gordon","24","0","0"
"01-04 years","Grady","153","0","1"
"05-09 years","Grady","255","0","0"
"10-17 years","Grady","511","0","5"
"18-29 years","Grady","650","0","17"
"30-39 years","Grady","558","1","18"
"40-49 years","Grady","517","3","37"
"50-59 years","Grady","508","14","50"
"60-69 years","Grady","366","12","43"
"70-79 years","Grady","287","30","72"
"80 & Older years","Grady","107","22","38"
"<1 years","Grady","106","0","4"
"Unknown years","Grady","2","0","0"
"01-04 years","Greene","64","0","2"
"05-09 years","Greene","109","0","1"
"10-17 years","Greene","304","0","8"
"18-29 years","Greene","541","0","17"
"30-39 years","Greene","459","0","20"
"40-49 years","Greene","388","4","29"
"50-59 years","Greene","523","7","41"
"60-69 years","Greene","536","14","49"
"70-79 years","Greene","435","18","81"
"80 & Older years","Greene","196","36","71"
"<1 years","Greene","26","0","5"
"Unknown years","Greene","1","0","0"
"01-04 years","Gwinnett","4835","0","42"
"05-09 years","Gwinnett","7876","0","44"
"10-17 years","Gwinnett","19243","3","112"
"18-29 years","Gwinnett","41844","19","773"
"30-39 years","Gwinnett","34044","43","834"
"40-49 years","Gwinnett","34126","115","1149"
"50-59 years","Gwinnett","28575","211","1384"
"60-69 years","Gwinnett","16556","355","1394"
"70-79 years","Gwinnett","7472","455","1222"
"80 & Older years","Gwinnett","3725","628","1052"
"<1 years","Gwinnett","1789","0","44"
"Unknown years","Gwinnett","121","0","10"
"01-04 years","Habersham","160","0","4"
"05-09 years","Habersham","218","0","0"
"10-17 years","Habersham","657","1","10"
"18-29 years","Habersham","1709","1","26"
"30-39 years","Habersham","1305","6","46"
"40-49 years","Habersham","1260","7","69"
"50-59 years","Habersham","1394","13","105"
"60-69 years","Habersham","1107","41","173"
"70-79 years","Habersham","756","78","174"
"80 & Older years","Habersham","472","100","133"
"<1 years","Habersham","82","0","11"
"Unknown years","Habersham","9","0","1"
"01-04 years","Hall","784","0","17"
"05-09 years","Hall","1389","0","13"
"10-17 years","Hall","4365","0","47"
"18-29 years","Hall","10997","9","251"
"30-39 years","Hall","7778","11","311"
"40-49 years","Hall","7614","37","435"
"50-59 years","Hall","7865","74","622"
"60-69 years","Hall","5445","142","650"
"70-79 years","Hall","3582","219","731"
"80 & Older years","Hall","1977","323","605"
"<1 years","Hall","356","1","29"
"Unknown years","Hall","89","0","10"
"01-04 years","Hancock","25","0","0"
"05-09 years","Hancock","43","0","0"
"10-17 years","Hancock","101","0","2"
"18-29 years","Hancock","259","0","3"
"30-39 years","Hancock","259","2","8"
"40-49 years","Hancock","185","2","8"
"50-59 years","Hancock","241","7","21"
"60-69 years","Hancock","236","21","41"
"70-79 years","Hancock","127","24","30"
"80 & Older years","Hancock","83","26","29"
"<1 years","Hancock","9","0","0"
"01-04 years","Haralson","70","0","0"
"05-09 years","Haralson","124","0","0"
"10-17 years","Haralson","364","0","3"
"18-29 years","Haralson","743","0","6"
"30-39 years","Haralson","532","0","8"
"40-49 years","Haralson","557","3","11"
"50-59 years","Haralson","613","7","22"
"60-69 years","Haralson","362","19","31"
"70-79 years","Haralson","229","22","26"
"80 & Older years","Haralson","101","16","15"
"<1 years","Haralson","29","0","1"
"Unknown years","Haralson","3","0","0"
"01-04 years","Harris","113","0","1"
"05-09 years","Harris","196","0","0"
"10-17 years","Harris","532","0","5"
"18-29 years","Harris","877","0","19"
"30-39 years","Harris","787","0","22"
"40-49 years","Harris","870","5","43"
"50-59 years","Harris","944","13","64"
"60-69 years","Harris","725","22","96"
"70-79 years","Harris","444","45","90"
"80 & Older years","Harris","144","19","36"
"<1 years","Harris","22","0","0"
"Unknown years","Harris","4","0","0"
"01-04 years","Hart","65","0","0"
"05-09 years","Hart","93","0","2"
"10-17 years","Hart","295","0","0"
"18-29 years","Hart","614","0","11"
"30-39 years","Hart","506","0","15"
"40-49 years","Hart","449","4","22"
"50-59 years","Hart","554","4","39"
"60-69 years","Hart","392","17","45"
"70-79 years","Hart","263","15","49"
"80 & Older years","Hart","155","25","45"
"<1 years","Hart","30","0","0"
"Unknown years","Hart","1","0","0"
"01-04 years","Heard","28","0","1"
"05-09 years","Heard","72","0","0"
"10-17 years","Heard","168","0","3"
"18-29 years","Heard","294","2","7"
"30-39 years","Heard","203","0","4"
"40-49 years","Heard","267","2","20"
"50-59 years","Heard","264","3","20"
"60-69 years","Heard","192","8","21"
"70-79 years","Heard","99","11","26"
"80 & Older years","Heard","47","10","10"
"<1 years","Heard","16","0","1"
"01-04 years","Henry","1226","0","28"
"05-09 years","Henry","2056","0","15"
"10-17 years","Henry","5269","1","65"
"18-29 years","Henry","10008","3","238"
"30-39 years","Henry","8541","14","265"
"40-49 years","Henry","9156","45","369"
"50-59 years","Henry","8338","71","473"
"60-69 years","Henry","4600","156","500"
"70-79 years","Henry","2193","173","388"
"80 & Older years","Henry","1006","184","293"
"<1 years","Henry","405","0","22"
"Unknown years","Henry","25","0","3"
"01-04 years","Houston","592","0","10"
"05-09 years","Houston","1048","0","4"
"10-17 years","Houston","2718","0","13"
"18-29 years","Houston","5476","8","80"
"30-39 years","Houston","5045","7","109"
"40-49 years","Houston","4239","20","167"
"50-59 years","Houston","3502","39","216"
"60-69 years","Houston","2322","81","271"
"70-79 years","Houston","1174","98","246"
"80 & Older years","Houston","602","92","156"
"<1 years","Houston","163","1","8"
"Unknown years","Houston","5","0","0"
"01-04 years","Irwin","11","0","0"
"05-09 years","Irwin","24","0","0"
"10-17 years","Irwin","79","0","1"
"18-29 years","Irwin","213","0","6"
"30-39 years","Irwin","179","0","10"
"40-49 years","Irwin","189","1","11"
"50-59 years","Irwin","153","3","13"
"60-69 years","Irwin","123","3","25"
"70-79 years","Irwin","67","8","11"
"80 & Older years","Irwin","48","10","32"
"<1 years","Irwin","4","0","1"
"Unknown years","Irwin","2","0","0"
"01-04 years","Jackson","358","0","8"
"05-09 years","Jackson","703","0","2"
"10-17 years","Jackson","2147","1","17"
"18-29 years","Jackson","3287","3","75"
"30-39 years","Jackson","3308","8","92"
"40-49 years","Jackson","3247","14","138"
"50-59 years","Jackson","2996","32","180"
"60-69 years","Jackson","2041","51","202"
"70-79 years","Jackson","1372","81","240"
"80 & Older years","Jackson","661","87","178"
"<1 years","Jackson","136","0","10"
"Unknown years","Jackson","10","0","1"
"01-04 years","Jasper","47","0","1"
"05-09 years","Jasper","65","0","2"
"10-17 years","Jasper","140","0","4"
"18-29 years","Jasper","346","0","14"
"30-39 years","Jasper","283","2","14"
"40-49 years","Jasper","266","1","17"
"50-59 years","Jasper","315","7","32"
"60-69 years","Jasper","241","15","54"
"70-79 years","Jasper","118","7","25"
"80 & Older years","Jasper","60","8","23"
"<1 years","Jasper","28","0","8"
"01-04 years","Jeff Davis","55","0","0"
"05-09 years","Jeff Davis","113","0","0"
"10-17 years","Jeff Davis","254","0","2"
"18-29 years","Jeff Davis","493","0","7"
"30-39 years","Jeff Davis","390","0","14"
"40-49 years","Jeff Davis","353","1","21"
"50-59 years","Jeff Davis","341","12","30"
"60-69 years","Jeff Davis","200","9","27"
"70-79 years","Jeff Davis","155","17","27"
"80 & Older years","Jeff Davis","40","10","10"
"<1 years","Jeff Davis","21","0","4"
"01-04 years","Jefferson","41","0","1"
"05-09 years","Jefferson","66","0","0"
"10-17 years","Jefferson","163","0","2"
"18-29 years","Jefferson","369","0","3"
"30-39 years","Jefferson","333","1","14"
"40-49 years","Jefferson","325","5","23"
"50-59 years","Jefferson","381","10","34"
"60-69 years","Jefferson","327","16","51"
"70-79 years","Jefferson","209","26","58"
"80 & Older years","Jefferson","94","25","38"
"<1 years","Jefferson","11","0","2"
"Unknown years","Jefferson","1","0","0"
"01-04 years","Jenkins","32","0","3"
"05-09 years","Jenkins","39","0","0"
"10-17 years","Jenkins","100","0","1"
"18-29 years","Jenkins","188","0","3"
"30-39 years","Jenkins","134","2","6"
"40-49 years","Jenkins","175","4","14"
"50-59 years","Jenkins","188","7","29"
"60-69 years","Jenkins","129","7","16"
"70-79 years","Jenkins","83","16","24"
"80 & Older years","Jenkins","55","10","13"
"<1 years","Jenkins","5","0","0"
"01-04 years","Johnson","34","0","1"
"05-09 years","Johnson","40","0","0"
"10-17 years","Johnson","102","0","1"
"18-29 years","Johnson","269","0","7"
"30-39 years","Johnson","225","1","6"
"40-49 years","Johnson","231","3","10"
"50-59 years","Johnson","222","9","19"
"60-69 years","Johnson","212","9","26"
"70-79 years","Johnson","141","12","34"
"80 & Older years","Johnson","93","24","28"
"<1 years","Johnson","23","0","3"
"01-04 years","Jones","51","0","1"
"05-09 years","Jones","98","0","0"
"10-17 years","Jones","286","0","2"
"18-29 years","Jones","806","3","22"
"30-39 years","Jones","656","3","17"
"40-49 years","Jones","633","5","33"
"50-59 years","Jones","678","10","66"
"60-69 years","Jones","455","19","77"
"70-79 years","Jones","293","35","77"
"80 & Older years","Jones","143","26","44"
"<1 years","Jones","17","0","1"
"01-04 years","Lamar","124","0","0"
"05-09 years","Lamar","198","0","0"
"10-17 years","Lamar","424","0","5"
"18-29 years","Lamar","613","0","17"
"30-39 years","Lamar","521","2","19"
"40-49 years","Lamar","458","6","26"
"50-59 years","Lamar","443","12","50"
"60-69 years","Lamar","384","26","50"
"70-79 years","Lamar","257","27","51"
"80 & Older years","Lamar","106","29","33"
"<1 years","Lamar","76","0","1"
"Unknown years","Lamar","4","0","1"
"01-04 years","Lanier","21","0","0"
"05-09 years","Lanier","34","0","1"
"10-17 years","Lanier","119","0","1"
"18-29 years","Lanier","247","2","4"
"30-39 years","Lanier","246","0","3"
"40-49 years","Lanier","188","1","6"
"50-59 years","Lanier","149","4","11"
"60-69 years","Lanier","88","4","7"
"70-79 years","Lanier","77","6","9"
"80 & Older years","Lanier","32","2","6"
"<1 years","Lanier","22","0","0"
"Unknown years","Lanier","1","0","0"
"01-04 years","Laurens","242","0","2"
"05-09 years","Laurens","413","0","3"
"10-17 years","Laurens","985","0","7"
"18-29 years","Laurens","1789","0","15"
"30-39 years","Laurens","1432","5","25"
"40-49 years","Laurens","1306","12","41"
"50-59 years","Laurens","1148","32","83"
"60-69 years","Laurens","926","60","115"
"70-79 years","Laurens","581","71","109"
"80 & Older years","Laurens","334","76","75"
"<1 years","Laurens","92","0","7"
"Unknown years","Laurens","3","0","0"
"01-04 years","Lee","95","0","0"
"05-09 years","Lee","142","0","3"
"10-17 years","Lee","415","0","7"
"18-29 years","Lee","719","1","32"
"30-39 years","Lee","793","1","39"
"40-49 years","Lee","725","9","52"
"50-59 years","Lee","611","18","85"
"60-69 years","Lee","384","25","78"
"70-79 years","Lee","183","21","54"
"80 & Older years","Lee","105","19","36"
"<1 years","Lee","40","0","0"
"Unknown years","Lee","6","0","0"
"01-04 years","Liberty","625","0","4"
"05-09 years","Liberty","802","0","4"
"10-17 years","Liberty","1370","0","4"
"18-29 years","Liberty","3877","2","33"
"30-39 years","Liberty","2239","4","45"
"40-49 years","Liberty","1358","4","34"
"50-59 years","Liberty","1117","24","80"
"60-69 years","Liberty","737","30","95"
"70-79 years","Liberty","302","25","90"
"80 & Older years","Liberty","106","20","40"
"<1 years","Liberty","203","0","4"
"Unknown years","Liberty","12","0","0"
"01-04 years","Lincoln","20","0","0"
"05-09 years","Lincoln","23","0","1"
"10-17 years","Lincoln","75","0","0"
"18-29 years","Lincoln","151","0","5"
"30-39 years","Lincoln","135","0","6"
"40-49 years","Lincoln","132","1","10"
"50-59 years","Lincoln","134","3","8"
"60-69 years","Lincoln","115","8","25"
"70-79 years","Lincoln","83","10","22"
"80 & Older years","Lincoln","28","7","11"
"<1 years","Lincoln","6","0","1"
"Unknown years","Lincoln","1","0","0"
"01-04 years","Long","119","0","2"
"05-09 years","Long","164","0","0"
"10-17 years","Long","343","1","0"
"18-29 years","Long","550","0","5"
"30-39 years","Long","506","2","12"
"40-49 years","Long","336","4","18"
"50-59 years","Long","238","4","20"
"60-69 years","Long","169","5","20"
"70-79 years","Long","78","8","19"
"80 & Older years","Long","30","2","11"
"<1 years","Long","56","0","1"
"Unknown years","Long","1","0","0"
"01-04 years","Lowndes","505","0","1"
"05-09 years","Lowndes","589","0","1"
"10-17 years","Lowndes","1370","0","11"
"18-29 years","Lowndes","4816","6","49"
"30-39 years","Lowndes","2999","8","52"
"40-49 years","Lowndes","2181","16","81"
"50-59 years","Lowndes","1861","30","113"
"60-69 years","Lowndes","1364","60","151"
"70-79 years","Lowndes","841","80","144"
"80 & Older years","Lowndes","457","90","100"
"<1 years","Lowndes","239","0","4"
"Unknown years","Lowndes","7","0","0"
"01-04 years","Lumpkin","122","0","2"
"05-09 years","Lumpkin","200","0","2"
"10-17 years","Lumpkin","531","0","4"
"18-29 years","Lumpkin","1754","0","25"
"30-39 years","Lumpkin","1003","2","26"
"40-49 years","Lumpkin","941","1","41"
"50-59 years","Lumpkin","1044","14","88"
"60-69 years","Lumpkin","932","23","101"
"70-79 years","Lumpkin","625","25","120"
"80 & Older years","Lumpkin","294","49","111"
"<1 years","Lumpkin","68","0","3"
"Unknown years","Lumpkin","4","0","1"
"01-04 years","Macon","29","0","0"
"05-09 years","Macon","32","0","0"
"10-17 years","Macon","69","0","0"
"18-29 years","Macon","254","0","6"
"30-39 years","Macon","222","1","8"
"40-49 years","Macon","220","4","9"
"50-59 years","Macon","224","6","28"
"60-69 years","Macon","154","11","35"
"70-79 years","Macon","98","12","26"
"80 & Older years","Macon","31","10","11"
"<1 years","Macon","8","0","0"
"Unknown years","Macon","1","0","1"
"01-04 years","Madison","167","0","7"
"05-09 years","Madison","234","0","1"
"10-17 years","Madison","621","0","5"
"18-29 years","Madison","1220","0","45"
"30-39 years","Madison","974","1","43"
"40-49 years","Madison","911","2","51"
"50-59 years","Madison","952","19","72"
"60-69 years","Madison","673","22","100"
"70-79 years","Madison","428","30","115"
"80 & Older years","Madison","168","28","54"
"<1 years","Madison","89","0","10"
"Unknown years","Madison","2","0","0"
"01-04 years","Marion","23","0","0"
"05-09 years","Marion","35","0","1"
"10-17 years","Marion","119","0","0"
"18-29 years","Marion","171","0","7"
"30-39 years","Marion","151","0","7"
"40-49 years","Marion","148","3","9"
"50-59 years","Marion","144","7","18"
"60-69 years","Marion","122","13","22"
"70-79 years","Marion","68","8","21"
"80 & Older years","Marion","51","12","18"
"<1 years","Marion","9","0","0"
"01-04 years","McDuffie","69","0","2"
"05-09 years","McDuffie","92","0","0"
"10-17 years","McDuffie","254","0","2"
"18-29 years","McDuffie","680","0","15"
"30-39 years","McDuffie","515","2","12"
"40-49 years","McDuffie","474","3","26"
"50-59 years","McDuffie","446","13","53"
"60-69 years","McDuffie","324","19","67"
"70-79 years","McDuffie","205","23","71"
"80 & Older years","McDuffie","96","23","41"
"<1 years","McDuffie","21","0","3"
"Unknown years","McDuffie","1","0","0"
"01-04 years","McIntosh","53","0","1"
"05-09 years","McIntosh","78","0","1"
"10-17 years","McIntosh","238","0","0"
"18-29 years","McIntosh","355","0","5"
"30-39 years","McIntosh","292","0","4"
"40-49 years","McIntosh","289","0","6"
"50-59 years","McIntosh","345","5","15"
"60-69 years","McIntosh","271","9","33"
"70-79 years","McIntosh","173","9","28"
"80 & Older years","McIntosh","67","12","16"
"<1 years","McIntosh","10","0","0"
"Unknown years","McIntosh","1","0","0"
"01-04 years","Meriwether","101","0","3"
"05-09 years","Meriwether","114","0","1"
"10-17 years","Meriwether","253","1","3"
"18-29 years","Meriwether","629","0","20"
"30-39 years","Meriwether","463","3","31"
"40-49 years","Meriwether","534","5","39"
"50-59 years","Meriwether","542","13","58"
"60-69 years","Meriwether","519","24","69"
"70-79 years","Meriwether","356","39","73"
"80 & Older years","Meriwether","170","40","40"
"<1 years","Meriwether","45","0","5"
"Unknown years","Meriwether","2","0","1"
"01-04 years","Miller","45","0","0"
"05-09 years","Miller","62","0","0"
"10-17 years","Miller","195","0","1"
"18-29 years","Miller","217","1","2"
"30-39 years","Miller","197","0","1"
"40-49 years","Miller","175","1","7"
"50-59 years","Miller","217","4","21"
"60-69 years","Miller","162","4","16"
"70-79 years","Miller","70","5","8"
"80 & Older years","Miller","56","4","9"
"<1 years","Miller","8","0","0"
"01-04 years","Mitchell","78","0","2"
"05-09 years","Mitchell","119","0","0"
"10-17 years","Mitchell","281","0","8"
"18-29 years","Mitchell","593","1","22"
"30-39 years","Mitchell","528","1","24"
"40-49 years","Mitchell","471","7","31"
"50-59 years","Mitchell","490","14","72"
"60-69 years","Mitchell","374","21","68"
"70-79 years","Mitchell","233","27","68"
"80 & Older years","Mitchell","143","33","45"
"<1 years","Mitchell","32","0","3"
"Unknown years","Mitchell","1","0","0"
"01-04 years","Monroe","50","1","4"
"05-09 years","Monroe","86","0","1"
"10-17 years","Monroe","271","0","1"
"18-29 years","Monroe","758","2","11"
"30-39 years","Monroe","651","0","13"
"40-49 years","Monroe","715","9","32"
"50-59 years","Monroe","709","10","44"
"60-69 years","Monroe","590","32","78"
"70-79 years","Monroe","328","36","67"
"80 & Older years","Monroe","176","49","49"
"<1 years","Monroe","24","0","2"
"01-04 years","Montgomery","22","0","0"
"05-09 years","Montgomery","29","0","0"
"10-17 years","Montgomery","127","0","1"
"18-29 years","Montgomery","318","1","3"
"30-39 years","Montgomery","243","2","6"
"40-49 years","Montgomery","221","1","5"
"50-59 years","Montgomery","208","6","17"
"60-69 years","Montgomery","183","9","17"
"70-79 years","Montgomery","118","19","21"
"80 & Older years","Montgomery","49","11","9"
"<1 years","Montgomery","11","0","0"
"Unknown years","Montgomery","1","0","0"
"01-04 years","Morgan","83","0","2"
"05-09 years","Morgan","111","0","2"
"10-17 years","Morgan","247","0","2"
"18-29 years","Morgan","556","0","20"
"30-39 years","Morgan","474","1","17"
"40-49 years","Morgan","457","1","16"
"50-59 years","Morgan","496","8","36"
"60-69 years","Morgan","347","9","40"
"70-79 years","Morgan","267","11","51"
"80 & Older years","Morgan","145","28","53"
"<1 years","Morgan","44","0","2"
"Unknown years","Morgan","11","0","0"
"01-04 years","Murray","239","0","4"
"05-09 years","Murray","339","0","3"
"10-17 years","Murray","1038","0","2"
"18-29 years","Murray","2059","0","21"
"30-39 years","Murray","1524","4","19"
"40-49 years","Murray","1553","10","46"
"50-59 years","Murray","1360","21","86"
"60-69 years","Murray","937","35","104"
"70-79 years","Murray","566","64","101"
"80 & Older years","Murray","235","44","48"
"<1 years","Murray","118","0","3"
"01-04 years","Muscogee","801","0","13"
"05-09 years","Muscogee","1422","0","1"
"10-17 years","Muscogee","3249","0","35"
"18-29 years","Muscogee","7784","14","210"
"30-39 years","Muscogee","6140","11","248"
"40-49 years","Muscogee","4867","27","303"
"50-59 years","Muscogee","4596","98","478"
"60-69 years","Muscogee","3525","178","591"
"70-79 years","Muscogee","1857","181","450"
"80 & Older years","Muscogee","1038","242","361"
"<1 years","Muscogee","269","0","13"
"Unknown years","Muscogee","28","0","3"
"01-04 years","Newton","441","0","48"
"05-09 years","Newton","924","0","27"
"10-17 years","Newton","1961","0","99"
"18-29 years","Newton","3982","2","326"
"30-39 years","Newton","3411","9","310"
"40-49 years","Newton","3506","22","327"
"50-59 years","Newton","3212","58","409"
"60-69 years","Newton","1809","84","366"
"70-79 years","Newton","1096","111","349"
"80 & Older years","Newton","572","129","225"
"<1 years","Newton","162","0","39"
"Unknown years","Newton","5","0","2"
"01-04 years","Non-GA Resident/Unknown State","1438","0","25"
"05-09 years","Non-GA Resident/Unknown State","2129","0","17"
"10-17 years","Non-GA Resident/Unknown State","4856","0","37"
"18-29 years","Non-GA Resident/Unknown State","15392","10","297"
"30-39 years","Non-GA Resident/Unknown State","12184","22","329"
"40-49 years","Non-GA Resident/Unknown State","10962","50","383"
"50-59 years","Non-GA Resident/Unknown State","10312","135","595"
"60-69 years","Non-GA Resident/Unknown State","7370","255","742"
"70-79 years","Non-GA Resident/Unknown State","4456","285","726"
"80 & Older years","Non-GA Resident/Unknown State","2275","259","520"
"<1 years","Non-GA Resident/Unknown State","761","0","35"
"Unknown years","Non-GA Resident/Unknown State","1306","0","179"
"01-04 years","Oconee","180","0","2"
"05-09 years","Oconee","333","0","1"
"10-17 years","Oconee","904","0","7"
"18-29 years","Oconee","1217","0","21"
"30-39 years","Oconee","984","1","18"
"40-49 years","Oconee","1313","3","40"
"50-59 years","Oconee","1121","7","38"
"60-69 years","Oconee","785","16","61"
"70-79 years","Oconee","454","23","58"
"80 & Older years","Oconee","278","47","83"
"<1 years","Oconee","45","0","1"
"01-04 years","Oglethorpe","63","0","1"
"05-09 years","Oglethorpe","103","0","0"
"10-17 years","Oglethorpe","248","0","4"
"18-29 years","Oglethorpe","467","0","18"
"30-39 years","Oglethorpe","350","2","15"
"40-49 years","Oglethorpe","375","5","30"
"50-59 years","Oglethorpe","373","1","42"
"60-69 years","Oglethorpe","290","9","46"
"70-79 years","Oglethorpe","209","17","39"
"80 & Older years","Oglethorpe","111","20","43"
"<1 years","Oglethorpe","34","0","1"
"Unknown years","Oglethorpe","1","0","0"
"01-04 years","Paulding","806","0","9"
"05-09 years","Paulding","1301","0","1"
"10-17 years","Paulding","3068","0","18"
"18-29 years","Paulding","5518","1","53"
"30-39 years","Paulding","5125","8","65"
"40-49 years","Paulding","4954","16","91"
"50-59 years","Paulding","4436","42","152"
"60-69 years","Paulding","2407","72","150"
"70-79 years","Paulding","1252","82","141"
"80 & Older years","Paulding","677","108","111"
"<1 years","Paulding","311","0","5"
"Unknown years","Paulding","33","0","0"
"01-04 years","Peach","84","0","2"
"05-09 years","Peach","100","0","0"
"10-17 years","Peach","269","0","2"
"18-29 years","Peach","903","1","17"
"30-39 years","Peach","714","4","23"
"40-49 years","Peach","596","9","36"
"50-59 years","Peach","621","14","62"
"60-69 years","Peach","553","27","81"
"70-79 years","Peach","284","31","71"
"80 & Older years","Peach","124","24","46"
"<1 years","Peach","20","0","0"
"01-04 years","Pickens","80","0","9"
"05-09 years","Pickens","124","0","4"
"10-17 years","Pickens","346","0","4"
"18-29 years","Pickens","927","0","26"
"30-39 years","Pickens","765","5","39"
"40-49 years","Pickens","786","3","51"
"50-59 years","Pickens","938","13","75"
"60-69 years","Pickens","811","25","124"
"70-79 years","Pickens","596","44","127"
"80 & Older years","Pickens","257","45","79"
"<1 years","Pickens","31","0","6"
"Unknown years","Pickens","1","0","0"
"01-04 years","Pierce","70","0","0"
"05-09 years","Pierce","101","0","1"
"10-17 years","Pierce","284","1","2"
"18-29 years","Pierce","517","0","11"
"30-39 years","Pierce","410","4","17"
"40-49 years","Pierce","450","6","37"
"50-59 years","Pierce","420","17","49"
"60-69 years","Pierce","331","23","79"
"70-79 years","Pierce","220","29","76"
"80 & Older years","Pierce","98","26","35"
"<1 years","Pierce","36","0","1"
"Unknown years","Pierce","3","0","0"
"01-04 years","Pike","98","0","0"
"05-09 years","Pike","132","0","0"
"10-17 years","Pike","318","0","1"
"18-29 years","Pike","446","2","11"
"30-39 years","Pike","458","2","13"
"40-49 years","Pike","471","4","20"
"50-59 years","Pike","430","15","35"
"60-69 years","Pike","301","18","52"
"70-79 years","Pike","186","18","46"
"80 & Older years","Pike","89","18","24"
"<1 years","Pike","37","0","0"
"01-04 years","Polk","231","0","2"
"05-09 years","Polk","348","0","4"
"10-17 years","Polk","1004","0","9"
"18-29 years","Polk","2089","0","34"
"30-39 years","Polk","1577","2","42"
"40-49 years","Polk","1448","8","71"
"50-59 years","Polk","1410","27","146"
"60-69 years","Polk","977","40","161"
"70-79 years","Polk","649","50","165"
"80 & Older years","Polk","298","45","86"
"<1 years","Polk","142","0","4"
"Unknown years","Polk","7","0","1"
"01-04 years","Pulaski","36","0","0"
"05-09 years","Pulaski","51","0","0"
"10-17 years","Pulaski","126","0","1"
"18-29 years","Pulaski","235","0","3"
"30-39 years","Pulaski","212","1","3"
"40-49 years","Pulaski","184","0","10"
"50-59 years","Pulaski","192","4","11"
"60-69 years","Pulaski","156","14","17"
"70-79 years","Pulaski","76","14","18"
"80 & Older years","Pulaski","51","15","8"
"<1 years","Pulaski","16","0","0"
"Unknown years","Pulaski","25","0","0"
"01-04 years","Putnam","69","0","0"
"05-09 years","Putnam","124","0","1"
"10-17 years","Putnam","323","0","3"
"18-29 years","Putnam","650","0","8"
"30-39 years","Putnam","579","3","20"
"40-49 years","Putnam","479","4","25"
"50-59 years","Putnam","640","5","45"
"60-69 years","Putnam","564","28","67"
"70-79 years","Putnam","420","36","99"
"80 & Older years","Putnam","178","27","51"
"<1 years","Putnam","25","0","1"
"01-04 years","Quitman","8","0","0"
"05-09 years","Quitman","15","0","0"
"10-17 years","Quitman","28","0","0"
"18-29 years","Quitman","39","0","2"
"30-39 years","Quitman","33","0","2"
"40-49 years","Quitman","17","0","1"
"50-59 years","Quitman","41","0","4"
"60-69 years","Quitman","48","1","7"
"70-79 years","Quitman","15","1","2"
"80 & Older years","Quitman","12","1","4"
"<1 years","Quitman","5","0","1"
"01-04 years","Rabun","55","0","0"
"05-09 years","Rabun","96","0","0"
"10-17 years","Rabun","272","0","2"
"18-29 years","Rabun","426","2","10"
"30-39 years","Rabun","346","2","16"
"40-49 years","Rabun","383","3","25"
"50-59 years","Rabun","454","8","52"
"60-69 years","Rabun","456","15","52"
"70-79 years","Rabun","353","28","71"
"80 & Older years","Rabun","142","26","50"
"<1 years","Rabun","25","0","1"
"Unknown years","Rabun","1","0","0"
"01-04 years","Randolph","19","0","1"
"05-09 years","Randolph","44","0","0"
"10-17 years","Randolph","94","0","3"
"18-29 years","Randolph","144","1","7"
"30-39 years","Randolph","125","2","10"
"40-49 years","Randolph","95","0","9"
"50-59 years","Randolph","142","7","29"
"60-69 years","Randolph","113","11","25"
"70-79 years","Randolph","77","7","21"
"80 & Older years","Randolph","59","15","18"
"<1 years","Randolph","4","0","0"
"01-04 years","Richmond","887","0","18"
"05-09 years","Richmond","1496","1","16"
"10-17 years","Richmond","3391","0","51"
"18-29 years","Richmond","9834","16","147"
"30-39 years","Richmond","7389","16","205"
"40-49 years","Richmond","5458","36","241"
"50-59 years","Richmond","4954","78","420"
"60-69 years","Richmond","3831","165","517"
