"age group","county name","cases","deaths","confirmed_case_hospitalization"
"18-29 years","Bleckley","355","0","6"
"30-39 years","Bleckley","220","1","5"
"40-49 years","Bleckley","205","1","3"
"50-59 years","Bleckley","191","4","11"
"60-69 years","Bleckley","144","11","19"
"70-79 years","Bleckley","97","8","17"
"80 & Older years","Bleckley","74","21","17"
"<1 years","Bleckley","10","0","0"
"01-04 years","Brantley","62","0","0"
"05-09 years","Brantley","103","0","0"
"10-17 years","Brantley","277","0","1"
"18-29 years","Brantley","500","0","5"
"30-39 years","Brantley","386","3","8"
"40-49 years","Brantley","362","6","21"
"50-59 years","Brantley","403","19","39"
"60-69 years","Brantley","280","18","45"
"70-79 years","Brantley","193","29","52"
"80 & Older years","Brantley","80","18","20"
"<1 years","Brantley","13","0","0"
"Unknown years","Brantley","2","0","0"
"01-04 years","Brooks","60","0","2"
"05-09 years","Brooks","72","0","0"
"10-17 years","Brooks","171","0","0"
"18-29 years","Brooks","355","0","4"
"30-39 years","Brooks","299","1","10"
"40-49 years","Brooks","282","2","18"
"50-59 years","Brooks","298","7","34"
"60-69 years","Brooks","211","13","32"
"70-79 years","Brooks","180","21","33"
"80 & Older years","Brooks","114","26","34"
"<1 years","Brooks","26","0","0"
"Unknown years","Brooks","1","0","0"
"01-04 years","Bryan","278","0","3"
"05-09 years","Bryan","377","0","2"
"10-17 years","Bryan","897","0","7"
"18-29 years","Bryan","1440","2","25"
"30-39 years","Bryan","1298","5","37"
"40-49 years","Bryan","1260","6","58"
"50-59 years","Bryan","913","9","64"
"60-69 years","Bryan","567","20","77"
"70-79 years","Bryan","330","23","111"
"80 & Older years","Bryan","131","16","45"
"<1 years","Bryan","127","0","9"
"Unknown years","Bryan","7","0","0"
"01-04 years","Bulloch","281","0","1"
"05-09 years","Bulloch","468","0","1"
"10-17 years","Bulloch","1145","0","4"
"18-29 years","Bulloch","4024","1","21"
"30-39 years","Bulloch","1620","5","38"
"40-49 years","Bulloch","1214","7","42"
"50-59 years","Bulloch","1103","18","70"
"60-69 years","Bulloch","725","25","88"
"70-79 years","Bulloch","381","32","78"
"80 & Older years","Bulloch","187","26","55"
