Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_235_G,35.70619898,NaN
A02,FAM,N1,Unkn,NO_235_G,37.90494296,NaN
A03,FAM,N1,Unkn,NO_235_G,36.52482367,NaN
A05,FAM,N1,Unkn,MI_235_G,38.13495782,NaN
A06,FAM,N1,Unkn,MI_235_G,36.44920909,NaN
A07,FAM,N1,Unkn,MI_235_G,36.54059338,NaN
A09,FAM,N1,Unkn,CC_235_G,NaN,NaN
A10,FAM,N1,Unkn,CC_235_G,37.358674,NaN
A11,FAM,N1,Unkn,CC_235_G,NaN,NaN
A13,FAM,N2,Unkn,NO_235_G,37.1364141,NaN
A14,FAM,N2,Unkn,NO_235_G,38.28070368,NaN
A15,FAM,N2,Unkn,NO_235_G,37.35222833,NaN
A16,FAM,N2,Unkn,MI_235_G,37.48535026,NaN
A17,FAM,N2,Unkn,MI_235_G,37.97001404,NaN
A18,FAM,N2,Unkn,MI_235_G,39.65443089,NaN
A19,FAM,N2,Unkn,CC_235_G,38.43696411,NaN
A20,FAM,N2,Unkn,CC_235_G,NaN,NaN
A21,FAM,N2,Unkn,CC_235_G,NaN,NaN
A22,FAM,BCOV,Unkn,NO_235_B,28.49925086,NaN
A23,FAM,BCOV,Unkn,NO_235_B,28.43691111,NaN
A24,FAM,BCOV,Unkn,NO_235_B,28.41654531,NaN
C01,FAM,N1,Unkn,NO_235_B,37.47274901,NaN
C02,FAM,N1,Unkn,NO_235_B,37.49687083,NaN
C03,FAM,N1,Unkn,NO_235_B,36.5823126,NaN
C05,FAM,N1,Unkn,MI_235_B,NaN,NaN
C06,FAM,N1,Unkn,MI_235_B,38.17427977,NaN
C07,FAM,N1,Unkn,MI_235_B,37.08269644,NaN
C09,FAM,N1,Unkn,CC_235_B,36.36310859,NaN
C10,FAM,N1,Unkn,CC_235_B,NaN,NaN
C11,FAM,N1,Unkn,CC_235_B,36.22506745,NaN
C13,FAM,N2,Unkn,NO_235_B,NaN,NaN
C14,FAM,N2,Unkn,NO_235_B,39.79675207,NaN
C15,FAM,N2,Unkn,NO_235_B,39.18774243,NaN
C16,FAM,N2,Unkn,MI_235_B,NaN,NaN
C17,FAM,N2,Unkn,MI_235_B,NaN,NaN
C18,FAM,N2,Unkn,MI_235_B,38.09039584,NaN
C19,FAM,N2,Unkn,CC_235_B,NaN,NaN
C20,FAM,N2,Unkn,CC_235_B,38.26656929,NaN
C21,FAM,N2,Unkn,CC_235_B,39.16736611,NaN
C22,FAM,BCOV,Unkn,MI_235_B,28.99642567,NaN
C23,FAM,BCOV,Unkn,MI_235_B,28.75343168,NaN
C24,FAM,BCOV,Unkn,MI_235_B,28.57401805,NaN
E01,FAM,N1,Unkn,NO_235_C,35.61062265,NaN
E02,FAM,N1,Unkn,NO_235_C,38.2862945,NaN
E03,FAM,N1,Unkn,NO_235_C,35.84909583,NaN
E05,FAM,N1,Unkn,MI_235_C,37.31313623,NaN
E06,FAM,N1,Unkn,MI_235_C,35.80416221,NaN
E07,FAM,N1,Unkn,MI_235_C,36.54369618,NaN
E09,FAM,N1,Unkn,CC_235_C,37.44212068,NaN
E10,FAM,N1,Unkn,CC_235_C,37.21026574,NaN
E11,FAM,N1,Unkn,CC_235_C,38.02187097,NaN
E13,FAM,N2,Unkn,NO_235_C,38.09487944,NaN
E14,FAM,N2,Unkn,NO_235_C,38.13199783,NaN
E15,FAM,N2,Unkn,NO_235_C,37.20415817,NaN
E16,FAM,N2,Unkn,MI_235_C,38.29790996,NaN
E17,FAM,N2,Unkn,MI_235_C,37.64785079,NaN
E18,FAM,N2,Unkn,MI_235_C,38.16254819,NaN
