Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_239_A,36.19628828,NaN
A02,FAM,N1,Unkn,NO_239_A,36.61153744,NaN
A03,FAM,N1,Unkn,NO_239_A,NaN,NaN
A05,FAM,N1,Unkn,MI_239_A,37.19207021,NaN
A06,FAM,N1,Unkn,MI_239_A,38.15353446,NaN
A07,FAM,N1,Unkn,MI_239_A,37.56245993,NaN
A09,FAM,N1,Unkn,CC_239_A,37.4027057,NaN
A10,FAM,N1,Unkn,CC_239_A,38.4760063,NaN
A11,FAM,N1,Unkn,CC_239_A,37.12188513,NaN
A13,FAM,N2,Unkn,NO_239_A,38.16490291,NaN
A14,FAM,N2,Unkn,NO_239_A,39.00903115,NaN
A15,FAM,N2,Unkn,NO_239_A,37.5621276,NaN
A16,FAM,N2,Unkn,MI_239_A,38.37116313,NaN
A17,FAM,N2,Unkn,MI_239_A,37.66409597,NaN
A18,FAM,N2,Unkn,MI_239_A,38.85981522,NaN
A19,FAM,N2,Unkn,CC_239_A,38.43207524,NaN
A20,FAM,N2,Unkn,CC_239_A,NaN,NaN
A21,FAM,N2,Unkn,CC_239_A,39.31247244,NaN
A22,FAM,BCOV,Unkn,NO_239_B,30.29369162,NaN
A23,FAM,BCOV,Unkn,NO_239_B,30.18767767,NaN
A24,FAM,BCOV,Unkn,NO_239_B,30.09812789,NaN
C01,FAM,N1,Unkn,NO_239_B,37.2835497,NaN
C02,FAM,N1,Unkn,NO_239_B,36.9340553,NaN
C03,FAM,N1,Unkn,NO_239_B,37.68691142,NaN
C05,FAM,N1,Unkn,MI_239_B,37.19918758,NaN
C06,FAM,N1,Unkn,MI_239_B,37.00846537,NaN
C07,FAM,N1,Unkn,MI_239_B,38.08175484,NaN
C09,FAM,N1,Unkn,CC_239_B,37.08665294,NaN
C10,FAM,N1,Unkn,CC_239_B,37.57051203,NaN
C11,FAM,N1,Unkn,CC_239_B,37.32420186,NaN
C13,FAM,N2,Unkn,NO_239_B,39.90031829,NaN
C14,FAM,N2,Unkn,NO_239_B,39.13496347,NaN
C15,FAM,N2,Unkn,NO_239_B,NaN,NaN
C16,FAM,N2,Unkn,MI_239_B,39.3355013,NaN
