Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_237_A,37.38998445,NaN
A02,FAM,N1,Unkn,NO_237_A,37.06798781,NaN
A03,FAM,N1,Unkn,NO_237_A,37.3339098,NaN
A05,FAM,N1,Unkn,MI_237_A,35.93975505,NaN
A06,FAM,N1,Unkn,MI_237_A,36.3379471,NaN
A07,FAM,N1,Unkn,MI_237_A,36.70311953,NaN
A09,FAM,N1,Unkn,CC_237_A,36.90515472,NaN
A10,FAM,N1,Unkn,CC_237_A,37.12133321,NaN
A11,FAM,N1,Unkn,CC_237_A,39.07908614,NaN
A13,FAM,N2,Unkn,NO_237_A,38.17850441,NaN
A14,FAM,N2,Unkn,NO_237_A,38.10360648,NaN
A15,FAM,N2,Unkn,NO_237_A,NaN,NaN
A16,FAM,N2,Unkn,MI_237_A,38.75228906,NaN
A17,FAM,N2,Unkn,MI_237_A,38.92438279,NaN
A18,FAM,N2,Unkn,MI_237_A,39.98968497,NaN
A19,FAM,N2,Unkn,CC_237_A,NaN,NaN
A20,FAM,N2,Unkn,CC_237_A,38.11990849,NaN
A21,FAM,N2,Unkn,CC_237_A,39.21179889,NaN
A22,FAM,BCOV,Unkn,NO_237_B,29.80315536,NaN
A23,FAM,BCOV,Unkn,NO_237_B,29.86229387,NaN
A24,FAM,BCOV,Unkn,NO_237_B,30.75936237,NaN
C01,FAM,N1,Unkn,NO_237_B,36.70230613,NaN
C02,FAM,N1,Unkn,NO_237_B,NaN,NaN
C03,FAM,N1,Unkn,NO_237_B,38.26671915,NaN
C05,FAM,N1,Unkn,MI_237_B,38.94170323,NaN
C06,FAM,N1,Unkn,MI_237_B,37.05489911,NaN
C07,FAM,N1,Unkn,MI_237_B,36.86080922,NaN
C09,FAM,N1,Unkn,CC_237_B,38.73593928,NaN
C10,FAM,N1,Unkn,CC_237_B,37.86116553,NaN
C11,FAM,N1,Unkn,CC_237_B,37.64170973,NaN
C13,FAM,N2,Unkn,NO_237_B,39.13292006,NaN
C14,FAM,N2,Unkn,NO_237_B,NaN,NaN
C15,FAM,N2,Unkn,NO_237_B,39.74020455,NaN
C16,FAM,N2,Unkn,MI_237_B,NaN,NaN
C17,FAM,N2,Unkn,MI_237_B,38.90750108,NaN
C18,FAM,N2,Unkn,MI_237_B,39.82533387,NaN
C19,FAM,N2,Unkn,CC_237_B,NaN,NaN
C20,FAM,N2,Unkn,CC_237_B,NaN,NaN
C21,FAM,N2,Unkn,CC_237_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_237_B,29.50264592,NaN
C23,FAM,BCOV,Unkn,MI_237_B,29.48535779,NaN
C24,FAM,BCOV,Unkn,MI_237_B,29.419432,NaN
E01,FAM,N1,Unkn,NO_237_C,36.27667089,NaN
E02,FAM,N1,Unkn,NO_237_C,36.19707224,NaN
E03,FAM,N1,Unkn,NO_237_C,36.84616916,NaN
E05,FAM,N1,Unkn,MI_237_C,36.98281424,NaN
E06,FAM,N1,Unkn,MI_237_C,37.15127671,NaN
E07,FAM,N1,Unkn,MI_237_C,38.83710033,NaN
E09,FAM,N1,Unkn,CC_237_C,36.76389427,NaN
E10,FAM,N1,Unkn,CC_237_C,37.2212306,NaN
E11,FAM,N1,Unkn,CC_237_C,37.15715909,NaN
E13,FAM,N2,Unkn,NO_237_C,38.06573968,NaN
E14,FAM,N2,Unkn,NO_237_C,39.00010404,NaN
E15,FAM,N2,Unkn,NO_237_C,38.01315473,NaN
E16,FAM,N2,Unkn,MI_237_C,38.28119796,NaN
E17,FAM,N2,Unkn,MI_237_C,38.62693772,NaN
E18,FAM,N2,Unkn,MI_237_C,39.05687679,NaN
E19,FAM,N2,Unkn,CC_237_C,39.53653554,NaN
E20,FAM,N2,Unkn,CC_237_C,39.40893892,NaN
E21,FAM,N2,Unkn,CC_237_C,39.05936433,NaN
E22,FAM,BCOV,Unkn,CC_237_B,29.32749894,NaN
E23,FAM,BCOV,Unkn,CC_237_B,29.26452408,NaN
E24,FAM,BCOV,Unkn,CC_237_B,29.22634246,NaN
G01,FAM,N1,Unkn,NO_237_D,36.9144083,NaN
G02,FAM,N1,Unkn,NO_237_D,36.25584043,NaN
