Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_238_A,NaN,NaN
A02,FAM,N1,Unkn,NO_238_A,NaN,NaN
A03,FAM,N1,Unkn,NO_238_A,NaN,NaN
A05,FAM,N1,Unkn,MI_238_A,37.22399608,NaN
A06,FAM,N1,Unkn,MI_238_A,38.29047294,NaN
A07,FAM,N1,Unkn,MI_238_A,38.28776871,NaN
A09,FAM,N1,Unkn,CC_238_A,37.5056103,NaN
A10,FAM,N1,Unkn,CC_238_A,NaN,NaN
A11,FAM,N1,Unkn,CC_238_A,NaN,NaN
A13,FAM,N2,Unkn,NO_238_A,NaN,NaN
A14,FAM,N2,Unkn,NO_238_A,NaN,NaN
A15,FAM,N2,Unkn,NO_238_A,NaN,NaN
A16,FAM,N2,Unkn,MI_238_A,NaN,NaN
A17,FAM,N2,Unkn,MI_238_A,39.03905264,NaN
A18,FAM,N2,Unkn,MI_238_A,39.20346262,NaN
A19,FAM,N2,Unkn,CC_238_A,38.92301306,NaN
A20,FAM,N2,Unkn,CC_238_A,38.20186818,NaN
A21,FAM,N2,Unkn,CC_238_A,38.81541829,NaN
A22,FAM,BCOV,Unkn,NO_238_B,29.40634216,NaN
A23,FAM,BCOV,Unkn,NO_238_B,29.23601654,NaN
A24,FAM,BCOV,Unkn,NO_238_B,29.02717066,NaN
C01,FAM,N1,Unkn,NO_238_B,NaN,NaN
C02,FAM,N1,Unkn,NO_238_B,NaN,NaN
C03,FAM,N1,Unkn,NO_238_B,37.39196305,NaN
C05,FAM,N1,Unkn,MI_238_B,NaN,NaN
C06,FAM,N1,Unkn,MI_238_B,37.27629237,NaN
C07,FAM,N1,Unkn,MI_238_B,36.49655007,NaN
C09,FAM,N1,Unkn,CC_238_B,38.14265214,NaN
C10,FAM,N1,Unkn,CC_238_B,38.0180506,NaN
C11,FAM,N1,Unkn,CC_238_B,38.12772787,NaN
C13,FAM,N2,Unkn,NO_238_B,NaN,NaN
C14,FAM,N2,Unkn,NO_238_B,NaN,NaN
C15,FAM,N2,Unkn,NO_238_B,NaN,NaN
C16,FAM,N2,Unkn,MI_238_B,NaN,NaN
C17,FAM,N2,Unkn,MI_238_B,NaN,NaN
C18,FAM,N2,Unkn,MI_238_B,39.65328353,NaN
C19,FAM,N2,Unkn,CC_238_B,38.72289848,NaN
C20,FAM,N2,Unkn,CC_238_B,NaN,NaN
C21,FAM,N2,Unkn,CC_238_B,NaN,NaN
C22,FAM,BCOV,Unkn,MI_238_B,29.68635607,NaN
C23,FAM,BCOV,Unkn,MI_238_B,29.56280469,NaN
C24,FAM,BCOV,Unkn,MI_238_B,29.48401225,NaN
E01,FAM,N1,Unkn,NO_238_C,NaN,NaN
E02,FAM,N1,Unkn,NO_238_C,NaN,NaN
E03,FAM,N1,Unkn,NO_238_C,NaN,NaN
E05,FAM,N1,Unkn,MI_238_C,37.21828757,NaN
