Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_240_A,NaN,NaN
A02,FAM,N1,Unkn,NO_240_A,37.31046022,NaN
A03,FAM,N1,Unkn,NO_240_A,39.26328366,NaN
A05,FAM,N1,Unkn,MI_240_A,36.52579021,NaN
A06,FAM,N1,Unkn,MI_240_A,35.54991495,NaN
A07,FAM,N1,Unkn,MI_240_A,37.27397608,NaN
A09,FAM,N1,Unkn,CC_240_A,36.82425529,NaN
A10,FAM,N1,Unkn,CC_240_A,35.62185708,NaN
A11,FAM,N1,Unkn,CC_240_A,35.44460188,NaN
A13,FAM,N2,Unkn,NO_240_A,39.12889514,NaN
A14,FAM,N2,Unkn,NO_240_A,NaN,NaN
A15,FAM,N2,Unkn,NO_240_A,38.52681488,NaN
A16,FAM,N2,Unkn,MI_240_A,37.40664563,NaN
A17,FAM,N2,Unkn,MI_240_A,37.52931341,NaN
A18,FAM,N2,Unkn,MI_240_A,38.07613387,NaN
A19,FAM,N2,Unkn,CC_240_A,36.90140678,NaN
A20,FAM,N2,Unkn,CC_240_A,37.14176426,NaN
A21,FAM,N2,Unkn,CC_240_A,37.24782151,NaN
A22,FAM,BCOV,Unkn,NO_240_B,29.35389455,NaN
A23,FAM,BCOV,Unkn,NO_240_B,29.35561072,NaN
A24,FAM,BCOV,Unkn,NO_240_B,29.24566653,NaN
C01,FAM,N1,Unkn,NO_240_B,36.7117999,NaN
C02,FAM,N1,Unkn,NO_240_B,37.23105552,NaN
C03,FAM,N1,Unkn,NO_240_B,39.36162732,NaN
C05,FAM,N1,Unkn,MI_240_B,35.91672031,NaN
C06,FAM,N1,Unkn,MI_240_B,36.08249456,NaN
C07,FAM,N1,Unkn,MI_240_B,36.92494638,NaN
C09,FAM,N1,Unkn,CC_240_B,35.17844008,NaN
C10,FAM,N1,Unkn,CC_240_B,36.52825339,NaN
C11,FAM,N1,Unkn,CC_240_B,36.29640645,NaN
C13,FAM,N2,Unkn,NO_240_B,39.75459975,NaN
C14,FAM,N2,Unkn,NO_240_B,38.47959655,NaN
