Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
O15,FAM,N2,Unkn,SARS-CoV-2,19.10900437,NaN
O22,FAM,BCOV,Unkn,H2O_RNA_236,8.483828542,NaN
O23,FAM,BCOV,Unkn,H2O_RNA_236,8.702898905,NaN
O24,FAM,BCOV,Unkn,H2O_RNA_236,8.461601794,NaN
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
