Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_241_A,37.98305807,NaN
A02,FAM,N1,Unkn,NO_241_A,37.95454398,NaN
A03,FAM,N1,Unkn,NO_241_A,37.7143175,NaN
A05,FAM,N1,Unkn,MI_241_A,36.67296725,NaN
A06,FAM,N1,Unkn,MI_241_A,37.14194517,NaN
A07,FAM,N1,Unkn,MI_241_A,36.47813891,NaN
A09,FAM,N1,Unkn,CC_241_A,36.48595845,NaN
A10,FAM,N1,Unkn,CC_241_A,37.13476748,NaN
A11,FAM,N1,Unkn,CC_241_A,36.80437177,NaN
A13,FAM,N2,Unkn,NO_241_A,39.13714871,NaN
A14,FAM,N2,Unkn,NO_241_A,39.02352099,NaN
A15,FAM,N2,Unkn,NO_241_A,NaN,NaN
A16,FAM,N2,Unkn,MI_241_A,37.93488071,NaN
A17,FAM,N2,Unkn,MI_241_A,38.78702574,NaN
A18,FAM,N2,Unkn,MI_241_A,38.33200784,NaN
A19,FAM,N2,Unkn,CC_241_A,37.85098042,NaN
A20,FAM,N2,Unkn,CC_241_A,37.64678794,NaN
A21,FAM,N2,Unkn,CC_241_A,39.08851223,NaN
A22,FAM,BCOV,Unkn,NO_241_B,29.70433318,NaN
A23,FAM,BCOV,Unkn,NO_241_B,29.702673,NaN
A24,FAM,BCOV,Unkn,NO_241_B,29.52511867,NaN
C01,FAM,N1,Unkn,NO_241_B,37.35837622,NaN
C02,FAM,N1,Unkn,NO_241_B,36.62442912,NaN
C03,FAM,N1,Unkn,NO_241_B,39.10030671,NaN
C05,FAM,N1,Unkn,MI_241_B,36.1940634,NaN
C06,FAM,N1,Unkn,MI_241_B,37.83353591,NaN
C07,FAM,N1,Unkn,MI_241_B,35.93729221,NaN
C09,FAM,N1,Unkn,CC_241_B,36.91183622,NaN
C10,FAM,N1,Unkn,CC_241_B,37.7051891,NaN
C11,FAM,N1,Unkn,CC_241_B,38.48867984,NaN
C13,FAM,N2,Unkn,NO_241_B,NaN,NaN
C14,FAM,N2,Unkn,NO_241_B,NaN,NaN
C15,FAM,N2,Unkn,NO_241_B,NaN,NaN
C16,FAM,N2,Unkn,MI_241_B,38.31919893,NaN
C17,FAM,N2,Unkn,MI_241_B,38.09337645,NaN
C18,FAM,N2,Unkn,MI_241_B,37.63717127,NaN
C19,FAM,N2,Unkn,CC_241_B,NaN,NaN
C20,FAM,N2,Unkn,CC_241_B,NaN,NaN
C21,FAM,N2,Unkn,CC_241_B,39.02819912,NaN
C22,FAM,BCOV,Unkn,MI_241_B,29.65412495,NaN
C23,FAM,BCOV,Unkn,MI_241_B,29.47529994,NaN
C24,FAM,BCOV,Unkn,MI_241_B,29.43948004,NaN
E01,FAM,N1,Unkn,NO_241_C,NaN,NaN
E02,FAM,N1,Unkn,NO_241_C,37.64577099,NaN
E03,FAM,N1,Unkn,NO_241_C,37.4772893,NaN
E05,FAM,N1,Unkn,MI_241_C,36.19728191,NaN
E06,FAM,N1,Unkn,MI_241_C,36.37711565,NaN
E07,FAM,N1,Unkn,MI_241_C,37.09614972,NaN
E09,FAM,N1,Unkn,CC_241_C,38.52403118,NaN
