run_date,run_num,sample_date,collection_num,sample_id,target,ct
29-Oct-20,39,30-Jun-20,7,CC_7_C,N1,Undetermined
29-Oct-20,39,30-Jun-20,7,CC_7_C,N1,Undetermined
29-Oct-20,39,30-Jun-20,7,CC_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_A,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_A,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_B,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_B,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_B,N1,Undetermined
1-Jul-20,10,30-Jun-20,7,MI_7_C,N1,Undetermined
1-Jul-20,10,30-Jun-20,7,MI_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,MI_7_C,N1,Undetermined
17-Jul-20,14,30-Jun-20,7,NO_7_A,N1,Undetermined
17-Jul-20,14,30-Jun-20,7,NO_7_A,N1,Undetermined
17-Jul-20,14,30-Jun-20,7,NO_7_A,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_A,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_A,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_B,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_B,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_B,N1,Undetermined
17-Jul-20,14,30-Jun-20,7,NO_7_C,N1,Undetermined
1-Jul-20,10,30-Jun-20,7,NO_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_C,N1,Undetermined
20-Jul-20,15,30-Jun-20,7,NO_7_C,N1,Undetermined
17-Jul-20,14,30-Jun-20,7,NO_7_C,N1,37.08349609
1-Jul-20,10,30-Jun-20,7,MI_7_C,N1,37.04840088
17-Jul-20,14,30-Jun-20,7,NO_7_C,N1,36.34141541
1-Jul-20,10,30-Jun-20,7,NO_7_C,N1,36.17138672
20-Jul-20,15,30-Jun-20,7,MI_7_A,N1,36.15786362
20-Jul-20,15,30-Jun-20,7,NO_7_A,N1,35.93893433
20-Jul-20,15,30-Jun-20,7,NO_7_C,N1,35.11445618
1-Jul-20,10,30-Jun-20,7,NO_7_C,N1,34.37643051
27-Oct-20,37,7-Jul-20,8,CC_8_A,N1,Undetermined
27-Oct-20,37,7-Jul-20,8,CC_8_A,N1,Undetermined
27-Oct-20,37,7-Jul-20,8,CC_8_A,N1,Undetermined
27-Oct-20,37,7-Jul-20,8,CC_8_B,N1,Undetermined
27-Oct-20,37,7-Jul-20,8,CC_8_B,N1,Undetermined
20-Jul-20,15,7-Jul-20,8,MI_8_A,N1,Undetermined
20-Jul-20,15,7-Jul-20,8,MI_8_A,N1,Undetermined
20-Jul-20,15,7-Jul-20,8,MI_8_A,N1,Undetermined
20-Jul-20,15,7-Jul-20,8,MI_8_B,N1,Undetermined
