run_date,run_num,sample_date,collection_num,target,sample_id,ct
7-Jul-21,105,6-Jul-21,93,N1,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_A,38.42
7-Jul-21,105,6-Jul-21,93,N1,MI_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_B,38.29
7-Jul-21,105,6-Jul-21,93,N1,NO_93_C,38.33
7-Jul-21,105,6-Jul-21,93,N1,NO_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,NO_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,CC_93_A,37.21
7-Jul-21,105,6-Jul-21,93,N1,CC_93_A,38.48
7-Jul-21,105,6-Jul-21,93,N1,CC_93_A,36.16
7-Jul-21,105,6-Jul-21,93,N1,CC_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,CC_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,CC_93_B,38.49
7-Jul-21,105,6-Jul-21,93,N1,CC_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,CC_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N1,CC_93_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_A,38.46
14-Jul-21,106,12-Jul-21,95,N1,NO_95_A,36.75
14-Jul-21,106,12-Jul-21,95,N1,MI_95_A,37.71
14-Jul-21,106,12-Jul-21,95,N1,MI_95_A,38.27
14-Jul-21,106,12-Jul-21,95,N1,MI_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_A,37.72
14-Jul-21,106,12-Jul-21,95,N1,CC_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_B,37.75
14-Jul-21,106,12-Jul-21,95,N1,NO_95_B,36.61
14-Jul-21,106,12-Jul-21,95,N1,NO_95_B,37.72
14-Jul-21,106,12-Jul-21,95,N1,MI_95_B,36.72
14-Jul-21,106,12-Jul-21,95,N1,MI_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_C,37.05
14-Jul-21,106,12-Jul-21,95,N1,NO_95_C,37.66
14-Jul-21,106,12-Jul-21,95,N1,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_D,37.78
14-Jul-21,106,12-Jul-21,95,N1,NO_95_D,37.55
14-Jul-21,106,12-Jul-21,95,N1,NO_95_D,35.62
14-Jul-21,106,12-Jul-21,95,N1,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,37.75
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_E,37.49
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,37.71
14-Jul-21,106,12-Jul-21,95,N1,CC_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,NO_95_F,37.77
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,MI_95_F,37.61
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N1,CC_95_F,37.67
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,37.88
16-Jul-21,107,14-Jul-21,96,N1,NO_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,37.65
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,37.63
16-Jul-21,107,14-Jul-21,96,N1,MI_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,37.73
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,37.76
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,37.64
