sample_id,target,ct,cg_num
NO_174_B,BCoV,28.79899853,174
NO_174_B,BCoV,28.80438873,174
NO_174_B,BCoV,29.19335857,174
MI_174_B,BCoV,29.21639498,174
MI_174_B,BCoV,29.1791777,174
MI_174_B,BCoV,29.16186743,174
CC_174_B,BCoV,29.5224015,174
CC_174_B,BCoV,29.5040656,174
CC_174_B,BCoV,29.36231605,174
NO_175_B,BCoV,28.39190293,175
NO_175_B,BCoV,28.57714528,175
NO_175_B,BCoV,28.54442142,175
MI_175_B,BCoV,28.66781391,175
MI_175_B,BCoV,28.6692644,175
MI_175_B,BCoV,28.66383147,175
CC_175_B,BCoV,28.16368637,175
CC_175_B,BCoV,28.17583224,175
CC_175_B,BCoV,28.35535129,175
NO_176_B,BCoV,29.48016371,176
NO_176_B,BCoV,29.05821199,176
NO_176_B,BCoV,28.70766289,176
NO_180_B,BCoV,28.56956004,180
NO_180_B,BCoV,28.53658929,180
NO_180_B,BCoV,28.51792264,180
MI_180_B,BCoV,28.3898544,180
MI_180_B,BCoV,28.44025186,180
MI_180_B,BCoV,28.3665276,180
CC_180_B,BCoV,29.12070694,180
CC_180_B,BCoV,29.02744016,180
CC_180_B,BCoV,29.04880295,180
NO_181_B,BCoV,28.27565441,181
NO_181_B,BCoV,28.2901856,181
NO_181_B,BCoV,28.23119769,181
MI_181_B,BCoV,28.17208566,181
MI_181_B,BCoV,28.38675857,181
MI_181_B,BCoV,28.37716342,181
CC_181_B,BCoV,28.7547879,181
CC_181_B,BCoV,28.66006598,181
CC_181_B,BCoV,28.67817938,181
NO_182_B,BCoV,28.07954349,182
NO_182_B,BCoV,28.14109412,182
NO_182_B,BCoV,28.06179735,182
MI_182_B,BCoV,26.98604359,182
MI_182_B,BCoV,27.9282851,182
MI_182_B,BCoV,27.83276861,182
CC_182_B,BCoV,28.27487528,182
CC_182_B,BCoV,28.24221877,182
CC_182_B,BCoV,28.34626034,182
NO_183_B,BCoV,29.83986625,183
NO_183_B,BCoV,28.17805711,183
NO_183_B,BCoV,27.53436105,183
MI_183_B,BCoV,30.03709574,183
MI_183_B,BCoV,28.45141667,183
MI_183_B,BCoV,27.52947522,183
CC_183_B,BCoV,29.64158039,183
CC_183_B,BCoV,28.70036417,183
CC_183_B,BCoV,27.59235815,183
NO_184_B,BCoV,31.11378244,184
NO_184_B,BCoV,31.10412964,184
NO_184_B,BCoV,30.92078815,184
MI_184_B,BCoV,28.96652033,184
MI_184_B,BCoV,29.02758365,184
MI_184_B,BCoV,28.95929961,184
CC_184_B,BCoV,29.32846755,184
CC_184_B,BCoV,29.33233948,184
CC_184_B,BCoV,29.3567616,184
NO_185_B,BCoV,30.42884893,185
NO_185_B,BCoV,30.2137935,185
NO_185_B,BCoV,29.57215752,185
MI_185_B,BCoV,29.72047163,185
MI_185_B,BCoV,29.46208481,185
MI_185_B,BCoV,29.23269814,185
